QUEST_UNUSED_20151022_001507		자신은 좀 더 순수한 성직을 원한다고 한다				
QUEST_UNUSED_20151022_001508		선배들의 흔적[하플라이트 전직]				
QUEST_UNUSED_20151022_001509		아직 수련이 부족하다고 한다				
QUEST_UNUSED_20151022_001510		때로는 전우없이[로델레로 전직]				
QUEST_UNUSED_20151022_001511		그것이 강해지는 방법이라면 따르겠다고 한다				
QUEST_UNUSED_20151022_001512		왜 강점을 포기하는지 이해 못하겠다고 한다				
QUEST_UNUSED_20151022_001513		파트너와 함께[캐터프랙트 전직]				
QUEST_UNUSED_20151022_001514		시켜만 달라고 한다				
QUEST_UNUSED_20151022_001515		이제 그만두고 싶다고 한다				
QUEST_UNUSED_20151022_001516		배우고 익히고 응용하기[보코르 전직]				
QUEST_UNUSED_20151022_001517		감사하다고 한다				
QUEST_UNUSED_20151022_001518		아직은 무리라고 한다				
QUEST_UNUSED_20151022_001519		여신상 보수하기[딥디르비 전직](1)				
QUEST_UNUSED_20151022_001520		물론 도전하겠다고 한다				
QUEST_UNUSED_20151022_001521		이미 배운 것으로도 충분하다고 한다				
QUEST_UNUSED_20151022_001522		여신상 보수하기[딥디르비 전직](2)				
QUEST_UNUSED_20151022_001523		주어진 능력을 베풀기[사두 전직]				
QUEST_UNUSED_20151022_001524		곤경을 극복하기[팔라딘 전직]				
QUEST_UNUSED_20151022_001525		더 강한 몬스터는 무리라고 한다				
QUEST_UNUSED_20151022_001526		타인을 이끄는 힘[로델레로 전직]				
QUEST_UNUSED_20151022_001527		모든 것을 관통하는 자[캐터프랙트 전직]				
QUEST_UNUSED_20151022_001528		고통의 원인 줄이기[사두 전직]				
QUEST_UNUSED_20151022_001529		고결한 힘[팔라딘 전직]				
QUEST_UNUSED_20151022_001530		증명할 방법을 묻는다				
QUEST_UNUSED_20151022_001531		굳이 증명하고 싶지 않다고 한다				
QUEST_UNUSED_20151022_001533		파괴해보겠다고 한다				
QUEST_UNUSED_20151022_001534		어려워 보인다고 한다				
QUEST_UNUSED_20151022_001535		파괴하고 오겠다고 한다				
QUEST_UNUSED_20151022_001536		마족의 혈액을 뿌리는 중				
QUEST_UNUSED_20151022_001537		더 이상은 무리라고 한다				
QUEST_UNUSED_20151022_001550		점성 있는 액체 수집				
QUEST_UNUSED_20151022_001555		위험에 빠진 알비나스 구출				
QUEST_UNUSED_20151022_001556		우사스 언덕에 있는 네스토스파의 비석 파괴				
QUEST_UNUSED_20151022_001557		알비나는 붉은 기운을 내뿜는 비석은 오염된 것으로, 몬스터를 불러 모으고 있다고 합니다. 우사스 언덕으로 가서 오염된 비석을 파괴하세요.				
QUEST_UNUSED_20151022_001558		우사스 언덕에 알비나스가 말한 오염된 네스토스파의 비석이 보입니다. 어서 파괴하세요.				
QUEST_UNUSED_20151022_001563		알비나스에게 돌아가서 사실 확인하기				
QUEST_UNUSED_20151022_001564		다미요나스는 화를 내며 자신들의 비석은 오염된 것이 아니라며 그런 오해를 불러 일으킨 사람이 누구냐며 노발대발 합니다. 알비나스에게 돌아가 이 사실을 전하고, 이쪽으로 데려와야 할 것 같습니다.				
QUEST_UNUSED_20151022_001568		복구 자재로 쓸 돌 수집				
QUEST_UNUSED_20151022_001580		게다스에게 전달				
QUEST_UNUSED_20151022_001583		신호탄과 진상 조사에 대해, 게다스에게 물어 보세요.	QUEST_LV_0100_20151001_009152	Ask Gedas about signal bombs and the investigation.	위험신호탄과 진상 조사에 대해, 게다스에게 물어 보세요.	
QUEST_UNUSED_20151022_001584		게다스는 조사 결과가 올 동안, 얼마 전 이 곳 캠프에 도착한 아나스토스파 일원인 바르테를 만나 보라고 합니다. 그녀가 이 곳에 오면서 본 것이 없는지 물어 보는 것이 좋겠습니다.				
QUEST_UNUSED_20151022_001587		몬스터에게서 가죽 조각 수집				
QUEST_UNUSED_20151022_001588		가죽의 문양에 대해 게다스에게 알려 주기				
QUEST_UNUSED_20151022_001589		바르테는 가죽에 새겨진 문양은 마족 바이가의 것이라고 합니다. 이 사실을 게다스에게 알려 주세요.				
QUEST_UNUSED_20151022_001590		네스토스파의 에뒤나스에게 도움 요청				
QUEST_UNUSED_20151022_001591		게다스는 마족을 상대하기 위해선 네스토스파의 도움이 필요하다고 합니다. 네스토스파의 캠프에 있는 에뒤나스에게 도움을 요청해 보세요.				
QUEST_UNUSED_20151022_001606		상단이 잃어버린 성물 회수				
QUEST_UNUSED_20151022_001608		에디타에게 전달	QUEST_LV_0100_20151016_010156		에디타와 대화	
QUEST_UNUSED_20151022_001617		율카스 벌판에서 탐지기를 사용하여 상단 물품 수색				
QUEST_UNUSED_20151022_001622		마르젤리유스에게 전달				
QUEST_UNUSED_20151022_001627		안타나스에게 전달				
QUEST_UNUSED_20151022_001630		오르샤의 대장장이에게 특별 주문한 정과 망치 받기				
QUEST_UNUSED_20151022_001631		안타나스는 비석을 만들기 위해 특별한 도구들을 주문해 두었다고 합니다. 오르샤의 대장장이에게 특별 주문한 정과 망치를 받으러 가 보세요.				
QUEST_UNUSED_20151022_001637		비석 제작	QUEST_LV_0100_20151016_010176		비석 세우기	
QUEST_UNUSED_20151022_001643		기에드라에게 전달				
QUEST_UNUSED_20151022_001645		짤막한 가죽 끈으로 제본용 질긴 끈뭉치 제작				
QUEST_UNUSED_20151022_001648		굉장히 불안해 보이는 케스타스와 대화	QUEST_LV_0100_20151001_009257	Talk to Kestas	케스타스와 대화	
QUEST_UNUSED_20151022_001656		행상인 바라스와 대화	QUEST_LV_0100_20151016_010275		시작 할 일	
QUEST_UNUSED_20151022_001657		행상인 바라스가 안절부절하고 있습니다. 무슨 일 때문에 안절부절하는지 알아보세요.	QUEST_LV_0100_20151016_010276		시작 설명	
QUEST_UNUSED_20151022_001658		행상인 바라스의 동료들이 있는 장소로 이동	QUEST_LV_0100_20151016_010277		중간 할 일	
QUEST_UNUSED_20151022_001659		행상인 바라스는 자신의 동료들이 마족에게 공격을 받고 있다고 합니다. 어서 그들을 도와주세요	QUEST_LV_0100_20151016_010278		중간 설명	
QUEST_UNUSED_20151022_001660		로제가 뭔가 하고 싶은 말이 있어 보입니다. 그녀와 대화하세요	QUEST_LV_0100_20151016_010280		마지막 설명	
QUEST_UNUSED_20151022_001661		행상인들을 위협하는 마족 처치하기	QUEST_JOBSTEP_20150323_002333	Defeat %s	%s 처치	
QUEST_UNUSED_20151022_001662		로제와 대화하세요				
QUEST_UNUSED_20151022_001663		개의 체력을 회복시키기	QUEST_LV_0100_20151016_010277		중간 할 일	
QUEST_UNUSED_20151022_001664		로제는 개의 후각을 이용해 흩어진 행상인들을 찾자고 합니다. 하지만 개의 체력이 좋지 않습니다. 개의 체력을 회복시켜주세요	QUEST_LV_0100_20151016_010278		중간 설명	
QUEST_UNUSED_20151022_001665		로제의 동료들을 찾을 수 있을만큼 개의 체력이 돌아왔습니다. 로제에게 알려주세요.	QUEST_LV_0100_20151016_010280		마지막 설명	
QUEST_UNUSED_20151022_001666		개의 후각을 이용해 행상인 찾기	QUEST_LV_0100_20151016_010277		중간 할 일	
QUEST_UNUSED_20151022_001667		개에게 체취가 뭍은 옷가지를 맡게하여 행상인을 찾게 하세요.	QUEST_LV_0100_20151016_010278		중간 설명	
QUEST_UNUSED_20151022_001668		행상인과 대화				
QUEST_UNUSED_20151022_001669		대부분의 행상인을 찾은거 같습니다. 행상인과 대화하세요	QUEST_LV_0100_20151016_010280		마지막 설명	
QUEST_UNUSED_20151022_001670		행상인과 대화하세요				
QUEST_UNUSED_20151022_001671		행상인을 위협하는 마족 처치	QUEST_LV_0100_20151016_010277		중간 할 일	
QUEST_UNUSED_20151022_001672		행상인을 위협하는 마족을 처치하세요	QUEST_LV_0100_20151016_010278		중간 설명	
QUEST_UNUSED_20151022_001673		행상인이 잃어버린 짐보따리 찾기				
QUEST_UNUSED_20151022_001674		행상인은 마족에게 쫓기면서 짐보따리를 잃어버렸다고 합니다. 행상인의 짐보따리를 찾아주세요	QUEST_LV_0100_20151016_010278		중간 설명	
QUEST_UNUSED_20151022_001675		길에 떨어진 행산인의 물건을 모두 수거했습니다. 행상인에게 가져다주세요.	QUEST_LV_0100_20151016_010280		마지막 설명	
QUEST_UNUSED_20151022_001676		불안에 떨고 있는 행상인과 대화하세요	QUEST_LV_0100_20151016_010276		시작 설명	
QUEST_UNUSED_20151022_001677		AA 마을 주변에 있는 마족과 몬스터 처치	QUEST_LV_0100_20151016_010277		중간 할 일	
QUEST_UNUSED_20151022_001678		AA 마을 주변에 있는 마족과 몬스터를 처치해 행상인의 불안함을 덜어주세요	QUEST_LV_0100_20151016_010278		중간 설명	
QUEST_UNUSED_20151022_001679		AA 마을 주변에 있는 마족과 몬스터를 처치했습니다. 행상인과 대화하세요	QUEST_LV_0100_20151016_010280		마지막 설명	
QUEST_UNUSED_20151022_001680		AA 마을 주변에 있는 마족과 몬스터 처치하기	QUEST_JOBSTEP_20150323_002333	Defeat %s	%s 처치	
QUEST_UNUSED_20151022_001681		약초꾼 테일스와 대화				
QUEST_UNUSED_20151022_001682		약초꾼 테일스와 대화하세요				
QUEST_UNUSED_20151022_001683		주변에 있는 약초 구하기	QUEST_LV_0100_20151016_010277		중간 할 일	
QUEST_UNUSED_20151022_001684		약초꾼 테일스는 자신의 상처를 치유 할 수 있는 약초를 구해달라고 합니다.	QUEST_LV_0100_20151016_010278		중간 설명	
QUEST_UNUSED_20151022_001685		약초의 효력으로도 약초꾼 테일스의 상처는 낫지 않는것 같습니다. 약초꾼 테일스와 대화하세요	QUEST_LV_0100_20151016_010276		시작 설명	
QUEST_UNUSED_20151022_001686		클레릭 서브 마스터와 대화				
QUEST_UNUSED_20151022_001687		클레릭 서브 마스터에게 약초꾼 테일스의 상태를 말해주세요				
QUEST_UNUSED_20151022_001688		클레릭 서브 마스터와 대화하세요	QUEST_LV_0100_20151016_010276		시작 설명	
QUEST_UNUSED_20151022_001689		약초꾼 테일스에게 약 건내주기				
QUEST_UNUSED_20151022_001690		클레릭 서브 마스터에게 받은 약을 약초꾼 테일스에게 건내주세요				
QUEST_UNUSED_20151022_001691		로제가 뭔가를 발견한 것 같습니다. 그녀에게로 가 대화하세요	QUEST_LV_0100_20151016_010276		시작 설명	
QUEST_UNUSED_20151022_001692		마족의 근거지에 있는 마족 처치하기				
QUEST_UNUSED_20151022_001693		마족의 근거지에 남아 있는 마족를 처치하세요	QUEST_LV_0100_20151016_010278		중간 설명	
QUEST_UNUSED_20151022_001694		마족의 근거지에 남아있는 마족을 처치하세요	QUEST_LV_0100_20151016_010280		마지막 설명	
QUEST_UNUSED_20151022_001695		로제와 대화세요	QUEST_LV_0100_20151016_010276		시작 설명	
QUEST_UNUSED_20151022_001696		거대 고사리와 관련된 정보 찾기	QUEST_LV_0100_20151016_010277		중간 할 일	
QUEST_UNUSED_20151022_001697		마족의 근거지에서 거대 고사리와 관련된 정보를 찾으세요	QUEST_LV_0100_20151016_010278		중간 설명	
QUEST_UNUSED_20151022_001698		로제에게 돌아가기	QUEST_LV_0100_20151016_010279		마지막 할 일	
QUEST_UNUSED_20151022_001699		거대 고사리와 관련된 정보를 찾았습니다. 로제에게 돌아가세요	QUEST_LV_0100_20151016_010280		마지막 설명	
QUEST_UNUSED_20151022_001700		로제에게로 돌아가기	QUEST_LV_0100_20151016_010275		시작 할 일	
QUEST_UNUSED_20151022_001701		로제에게로 돌아가 거대 고사리 관련된 정보를 알려주세요	QUEST_LV_0100_20151016_010276		시작 설명	
QUEST_UNUSED_20151022_001702		로제 구출하기	QUEST_LV_0100_20151016_010277		중간 할 일	
QUEST_UNUSED_20151022_001703		로제가 정체를 알 수 없는 마법사와 마족에게 붙잡혔습니다. 그녀를 구하세요	QUEST_LV_0100_20151016_010278		중간 설명	
QUEST_UNUSED_20151022_001704		로제를 구했습니다. 그녀와 대화하세요	QUEST_LV_0100_20151016_010280		마지막 설명	
QUEST_UNUSED_20151022_001705		로제를 납치하려는 마족 처치하기	QUEST_JOBSTEP_20150323_002333	Defeat %s	%s 처치	
QUEST_UNUSED_20151022_001706		로제에게 거대 고사리와 관련된 정보를 알려주세요	QUEST_LV_0100_20151016_010276		시작 설명	
QUEST_UNUSED_20151022_001707		장치의 동력원 제거하기	QUEST_LV_0100_20151016_010277		중간 할 일	
QUEST_UNUSED_20151022_001708		거대 고사리를 크게 만드는 장치의 동력원을 제거하세요	QUEST_LV_0100_20151016_010278		중간 설명	
QUEST_UNUSED_20151022_001709		장치의 동력원을 제거했습니다. 로제와 대화하세요	QUEST_LV_0100_20151016_010280		마지막 설명	
QUEST_UNUSED_20151022_001710		로제가 수도원으로 향하는 길목에서 기다리고 있습니다. 그녀와 대화하세요	QUEST_LV_0100_20151016_010276		시작 설명	
QUEST_UNUSED_20151022_001711		길목을 지키고 있는 마족 처치하기	QUEST_LV_0100_20151016_010277		중간 할 일	
QUEST_UNUSED_20151022_001712		수도원으로 향하는 길목을 지키고 있는 마족을 처치하세요.	QUEST_LV_0100_20151016_010278		중간 설명	
QUEST_UNUSED_20151022_001713		그렘린 처치하기	QUEST_JOBSTEP_20150323_002333	Defeat %s	%s 처치	
QUEST_UNUSED_20151022_001714		약초꾼과 대화하세요				
QUEST_UNUSED_20151022_001715		덫을 풀어주세요	QUEST_LV_0100_20151016_010278		중간 설명	
QUEST_UNUSED_20151022_001716		솥을 지키고 있는 마법진 파괴하기	QUEST_LV_0100_20151016_010277		중간 할 일	
QUEST_UNUSED_20151022_001717		솥을 지키고 있는 마법진 파괴하세요	QUEST_LV_0100_20151016_010278		중간 설명	
QUEST_UNUSED_20151022_001718		솥 파괴하기				
QUEST_UNUSED_20151022_001719		솥을 지키고있던 마법진이 제거됐습니다. 솥을 파괴하세요				
QUEST_UNUSED_20151022_001720		고사리가 든 상자 불태우기				
QUEST_UNUSED_20151022_001721		마족이 고사리를 담아둔 상자를 태우세요	QUEST_LV_0100_20151016_010278		중간 설명	
QUEST_UNUSED_20151022_001724		이주민 이즈나의 요청대로 연붉은 잎사귀를 충분히 구했습니다. 이즈나와 대화하세요	QUEST_UNUSED_20151016_000864		이주민 이즈나와 대화하세요	
QUEST_UNUSED_20151022_001726		이주민 이즈나가 요청한 렘파르 점액을 충분히 수집했습니다. 이즈나와 대화하세요	QUEST_UNUSED_20151016_000864		이주민 이즈나와 대화하세요	
QUEST_UNUSED_20151022_001730		우드스피릿 처치	QUEST_LV_0100_20151001_009381	Defeat the boss monster	보스몬스터 처치	
QUEST_UNUSED_20151022_001731		이주민 달라나스는 당신의 모험을 축복해주었습니다. 그리고 제미나 여신상에 경배하여 여신의 가호를 받아보라고 조언해주었습니다				
QUEST_UNUSED_20151022_001732		임시 휴식처의 몬스터 처치				
QUEST_UNUSED_20151022_001735		이네사 해먼데일과 대화하세요				
QUEST_UNUSED_20151022_001737		잡화상인과 대화				
QUEST_UNUSED_20151022_001738		잡화상인과 대화하세요				
QUEST_UNUSED_20151022_001739		악세서리 상인과 대화하세요				
QUEST_UNUSED_20151022_001740		정보원 체라시아와 대화				
QUEST_UNUSED_20151022_001741		정보원 체라시아와 대화하세요				
QUEST_UNUSED_20151022_001742		사제 이르마의 쪽지 낱장 수집				
QUEST_UNUSED_20151022_001744		정보원 모렌과 대화				
QUEST_UNUSED_20151022_001745		시작정보원 모렌과 대화하세요				
QUEST_UNUSED_20151022_001748		정보원 모렌과 대화하세요				
QUEST_UNUSED_20151022_001749		반쯤 타버린 쪽지 수집				
QUEST_UNUSED_20151022_001751		추적자 예울리스와 대화				
QUEST_UNUSED_20151022_001752		추적자 예울리스와 대화하세요				
QUEST_UNUSED_20151022_001755		우르보나스의 일지 습득	ETC_20150317_001977	Complete	완료	
QUEST_UNUSED_20151022_001756		사제들의 은신처에서 우르보나스의 일지를 발견했습니다. 주워서 추적자 예울리스에게 전해줍시다	ETC_20150317_001977	Complete	완료	
QUEST_UNUSED_20151022_001757		미노타우르스 처치	QUEST_JOBSTEP_20150323_002333	Defeat %s	%s 처치	
QUEST_UNUSED_20151022_001758		추적자 탈바시와 대화				
QUEST_UNUSED_20151022_001759		파우피스 나루에 있는 추적자 탈바시를 찾아가세요				
QUEST_UNUSED_20151022_001760		정보원 페르니프와 대화				
QUEST_UNUSED_20151022_001761		정보원 페르니프와 대화하세요				
QUEST_UNUSED_20151022_001764		라페자드 처치	QUEST_JOBSTEP_20150323_002333	Defeat %s	%s 처치	
QUEST_UNUSED_20151022_001765		라페마이터 처치	QUEST_JOBSTEP_20150323_002333	Defeat %s	%s 처치	
QUEST_UNUSED_20151022_001766		악취나는 수레 처리				
QUEST_UNUSED_20151022_001768		추적자 게르메이야와 대화				
QUEST_UNUSED_20151022_001769		추적자 게르메이야와 대화하세요				
QUEST_UNUSED_20151022_001770		몬스터 유인제 사용				
QUEST_UNUSED_20151022_001772		추적자 라이티스와 대화				
QUEST_UNUSED_20151022_001773		추적자 라이티스와 대화하세요				
QUEST_UNUSED_20151022_001774		추적자 라이티스는 4번 지역 통로에 나타나는 몬스터들을 처리해달라고 부탁했습니다				
QUEST_UNUSED_20151022_001775		몬스터 군락지 파괴				
QUEST_UNUSED_20151022_001776		몬스터 군락지를 파괴하세요				
QUEST_UNUSED_20151022_001777		급습한 체이퍼 처치	QUEST_JOBSTEP_20150323_002333	Defeat %s	%s 처치	
QUEST_UNUSED_20151022_001778		추적자 탈바시와 대화하세요				
QUEST_UNUSED_20151022_001781		사제 겔리아의 쪽지	QUEST_JOBSTEP_20150323_002333	Defeat %s	%s 처치	
QUEST_UNUSED_20151022_001784		정보원 라레나와 대화				
QUEST_UNUSED_20151022_001785		정보원 라레나와 대화하세요				
QUEST_UNUSED_20151022_001788		추적자 센달과 대화				
QUEST_UNUSED_20151022_001789		추적자 센달과 대화하세요				
QUEST_UNUSED_20151022_001792		사제 프라나스와 대화				
QUEST_UNUSED_20151022_001793		사제 프라나스와 대화하세요				
QUEST_UNUSED_20151022_001796		정보원 오르웬과 대화				
QUEST_UNUSED_20151022_001797		정보원 오르웬과 대화하세요				
QUEST_UNUSED_20151022_001799		마족 마법진 해체				
QUEST_UNUSED_20151022_001801		정보원 노토레스와 대화				
QUEST_UNUSED_20151022_001802		정보원 노토레스는 오르샤로 몰려오는 이주민들의 안전한 이주를 위해 사전에 3번지역이 안전한지 확인해보려고 합니다. 해당 지역의 몬스터들이 처치할 수 있는 수준인지 알아봐달라고 부탁했습니다.				
QUEST_UNUSED_20151022_001803		통로의 몬스터 처치	QUEST_JOBSTEP_20150323_002333	Defeat %s	%s 처치	
QUEST_UNUSED_20151022_001804		캠프 지역 확인				
QUEST_UNUSED_20151022_001805		정보원 노토레스는 이주민들이 오르샤로 향하는 동안 4번 장소의 캠프에서 쉬어도 좋을지 확인하고 싶다고 합니다. 4번 캠프 지역이 안전한지 확인해 봅시다				
QUEST_UNUSED_20151022_001806		정보원 노토레스와 대화하세요				
QUEST_UNUSED_20151022_001807		보스 몬스터 처치	QUEST_JOBSTEP_20150323_002333	Defeat %s	%s 처치	
QUEST_UNUSED_20151022_001808		오염된 피 수집				
QUEST_UNUSED_20151022_001810		추적자 제가우스와 대화				
QUEST_UNUSED_20151022_001811		추적자 제가우스와 대화하세요				
QUEST_UNUSED_20151022_001813		추적자들의 주머니 회수				
QUEST_UNUSED_20151022_001815		사제 프라나스가 파우피스 나루의 아샤크 지하 감옥 입구에서 당신을 기다리고 있습니다				
QUEST_UNUSED_20151022_001816		사제 프라나스 따라가기				
QUEST_UNUSED_20151022_001818		사제 프라나스와 대화와 대화하세요				
QUEST_UNUSED_20151022_001821		저주 토템 확인				
QUEST_UNUSED_20151022_001822		주변의 마족들을 충분히 처리했습니다. 저주토템을 다시 확인해 봅시다	ETC_20150317_001977	Complete	완료	
QUEST_UNUSED_20151022_001823		저주 토템 파괴				
QUEST_UNUSED_20151022_001824		사제 프라나스는 같은 방식으로 우르보나스의 은거지로 가는 길에 설치되어 있는 저주 토템을 파괴해 달라고 부탁했습니다				
QUEST_UNUSED_20151022_001825		저주 토템 파편 제거				
QUEST_UNUSED_20151022_001826		사제 프라나스가 처리해달라고 부탁한 저주 토템이 이미 누군가에 의해 파괴되어 있습니다. 하지만 그 파편들이 아직 작동하는 것 같습니다. 저주 토템의 파편들을 제거하세요				
QUEST_UNUSED_20151022_001827		저주 토템 확인을 확인하세요	ETC_20150317_001874	Start	시작	
QUEST_UNUSED_20151022_001830		우르보나스와 대화				
QUEST_UNUSED_20151022_001831		우르보나스와 대화와 대화하세요				
QUEST_UNUSED_20151022_001832		우르보나스와 대화하세요				
QUEST_UNUSED_20151022_001834		추적자 토르바나와 대화				
QUEST_UNUSED_20151022_001835		붉은 결정 수집				
QUEST_UNUSED_20151022_001837		추적자 토르바나와 대화와 대화하세요				
QUEST_UNUSED_20151022_001840		추적자 다라마우스와 대화				
QUEST_UNUSED_20151022_001841		마족 꾸러미 습득				
QUEST_UNUSED_20151022_001842		추적자 다라마우스는 영주 직속 정보대의 의뢰로 마족들이 사용하는 물건들을 조사해봐야 겠다고 합니다. 마족을 처치하여 마족 꾸러미를 습득하세요				
QUEST_UNUSED_20151022_001843		마족 꾸러미 조사				
QUEST_UNUSED_20151022_001844		추적자 다라마우스가 의뢰한 대로 마족 꾸러미를 충분히 모았습니다. 마족 꾸러미를 사용해보고 그 효롸를 다라마우스에게 알려줍시다				
QUEST_UNUSED_20151022_001845		추적자 다라마우스와 대화와 대화하세요	ETC_20150317_001977	Complete	완료	
QUEST_UNUSED_20151022_001846		사제 프라나스를 따라 아샤크 지하 감옥 2층으로 가세요				
QUEST_UNUSED_20151022_001850		사제 이르마와 대화와 대화하세요				
QUEST_UNUSED_20151022_001851		감시 토템 파괴				
QUEST_UNUSED_20151022_001852		사제 이르마는 감시 토템을 파괴하여 마군주 마르녹스의 관심을 다른 곳으로 돌리고 아샤크 지하 감옥 3층의 마족 지령서를 회수하러 가자고 합니다. 감시 토템을 파괴하세요				
QUEST_UNUSED_20151022_001853		사제 이르마는 감시 토템을 파괴하여 마군주 마르녹스의 관심을 다른 곳으로 돌리고 아샤크 지하 감옥 3층의 마족 지령서를 회수하러 가자고 합니다. 두 번째 감시토템 주변의 불안정한 마석을 수집하여 감시 토템에 부착하여 파괴하세요				
QUEST_UNUSED_20151022_001854		겔리야와 대화				
QUEST_UNUSED_20151022_001855		겔리야와 대화와 대화하세요				
QUEST_UNUSED_20151022_001856		사제 아우라나스와 대화				
QUEST_UNUSED_20151022_001857		사제 아우라나스와 대화와 대화하세요				
QUEST_UNUSED_20151022_001858		반짝이는 진주가루 수집				
QUEST_UNUSED_20151022_001862		서열 높은 마족 처치	QUEST_JOBSTEP_20150323_002333	Defeat %s	%s 처치	
QUEST_UNUSED_20151022_001863		사제 드라즈니에와 대화				
QUEST_UNUSED_20151022_001864		사제 드라즈니에와 대화와 대화하세요				
QUEST_UNUSED_20151022_001868		사제 겔리야와 대화				
QUEST_UNUSED_20151022_001869		사제 겔리야와 대화와 대화하세요				
QUEST_UNUSED_20151022_001872		이네사 해먼데일와 대화				
QUEST_UNUSED_20151022_001873		이네사 해먼데일와 대화와 대화하세요				
QUEST_UNUSED_20151022_001875		사제의 가방 회수				
QUEST_UNUSED_20151022_001879		소드맨 서브 마스터와 대화				
QUEST_UNUSED_20151022_001880		오르샤에서 소드맨 서브 마스터와 대화하세요.				
QUEST_UNUSED_20151022_001881		파우피스 나루에서 라페 처치하기				
QUEST_UNUSED_20151022_001882		소드맨 서브 마스터는 계시자의 실력을 확인하기 위해 파우피스 나루에서 라플래머와 라페먼을 처치하라고 합니다.				
QUEST_UNUSED_20151022_001883		소드맨 서브 마스터에게 보고				
QUEST_UNUSED_20151022_001884		정해진 수만큼 몬스터를 처치했습니다. 소드맨 서브 마스터에게 돌아가 보고하세요.				
QUEST_UNUSED_20151022_001885		라플래머 처치				
QUEST_UNUSED_20151022_001886		라페먼 처치				
QUEST_UNUSED_20151022_001887		양손검의 가능성[하이랜더 전직]				
QUEST_UNUSED_20151022_001888		하이랜더 서브 마스터와 대화				
QUEST_UNUSED_20151022_001889		렘파라사 연못에서 하이랜더 서브 마스터와 대화하세요.				
QUEST_UNUSED_20151022_001890		검 연습대를 쳐서 힘을 증명하기				
QUEST_UNUSED_20151022_001891		하이랜더 서브 마스터는 계시자가 양손검을 다룰 힘이 있는지 의심하고 있습니다. 근처의 검 연습대를 상대로 그 힘을 증명하세요.				
QUEST_UNUSED_20151022_001892		하이랜더 서브 마스터에게 보고				
QUEST_UNUSED_20151022_001893		이 정도면 충분히 자신의 힘을 보여준 것 같습니다. 하이랜더 서브 마스터와 다시 대화하세요.				
QUEST_UNUSED_20151022_001894		하이랜더로 인정받기에는 아직 충분치 않은 모양입니다. 다시 하이랜더 서브 마스터와 대화하세요.				
QUEST_UNUSED_20151022_001895		파우피스 나루의 라플래머를 처치하기				
QUEST_UNUSED_20151022_001896		그 힘을 실전에서 능숙하게 사용하는지를 판단하기 위해, 하이랜더 서브 마스터는 파우피스 나루의 라플래머들을 처치하고 오라고 합니다.				
QUEST_UNUSED_20151022_001897		지시받은만큼 라플래머를 처치하였습니다. 하이랜더 서브 마스터에게 돌아가 보고하세요.				
QUEST_UNUSED_20151022_001898		펠타스타 서브 마스터와 대화				
QUEST_UNUSED_20151022_001899		오르샤에서 펠타스타 서브 마스터와 대화하세요.				
QUEST_UNUSED_20151022_001900		라페먼의 쇠장식과 쓸만한 목재 구해오기				
QUEST_UNUSED_20151022_001901		펠타스타 서브 마스터는 방패의 재료들을 구해오라고 합니다. 파우피스 나루에서 라페먼의 쇠장식과 쓸만한 나무를 모으세요.				
QUEST_UNUSED_20151022_001902		펠타스타 서브 마스터에게 보고				
QUEST_UNUSED_20151022_001903		재료를 충분히 모은 것 같습니다. 펠타스타 서브 마스터에게 돌아가 보고하세요.				
QUEST_UNUSED_20151022_001904		나무 토막들을 조사해 %s 찾아내기				
QUEST_UNUSED_20151022_001905		라페먼으로부터 %s 획득하기				
QUEST_UNUSED_20151022_001906		오르샤에서 클레릭 서브 마스터와 대화하세요.				
QUEST_UNUSED_20151022_001907		덧댄다리 숲의 라페 처치				
QUEST_UNUSED_20151022_001908		클레릭 서브 마스터는 사람들을 괴롭히는 덧댄다리 숲의 라페자드와 라페마이터들을 소탕해 줄 것을 요청했습니다.				
QUEST_UNUSED_20151022_001909		클레릭 서브 마스터에게 보고				
QUEST_UNUSED_20151022_001910		라페들을 충분히 혼내 준 듯 합니다. 클레릭 서브 마스터에게 돌아가 보고하세요.				
QUEST_UNUSED_20151022_001911		라페자드와 라페마이터 처치				
QUEST_UNUSED_20151022_001912		크리비 서브 마스터와 대화				
QUEST_UNUSED_20151022_001913		오르샤에서 크리비 서브 마스터와 대화하세요.				
QUEST_UNUSED_20151022_001914		몬스터들을 사냥해 성화의 기운을 채우고 성화대에 불 붙이기				
QUEST_UNUSED_20151022_001915		몬스터들을 처치하여 주어진 보석에 기운을 채우세요. 충만한 수정으로 크리비 서브 마스터 곁의 성화대에 불을 붙이세요.				
QUEST_UNUSED_20151022_001916		크리비 서브 마스터에게 보고				
QUEST_UNUSED_20151022_001917		성화대가 성공적으로 타오르고 있습니다. 크리비 서브 마스터에게 보고하세요.				
QUEST_UNUSED_20151022_001918		프리스트 서브 마스터와 대화				
QUEST_UNUSED_20151022_001919		오르샤에서 프리스트 서브 마스터와 대화하세요.				
QUEST_UNUSED_20151022_001920		클레릭, 크리비, 보코르 서브 마스터들에게 축복받기				
QUEST_UNUSED_20151022_001921		프리스트 서브 마스터는 성수에 오르샤에 있는 클레릭, 크리비, 보코르 서브 마스터들의 축복을 각각 받아오라고 합니다.				
QUEST_UNUSED_20151022_001922		프리스트 서브 마스터에게 보고				
QUEST_UNUSED_20151022_001923		모든 축복을 받았습니다. 프리스트 서브 마스터에게 돌아가 보고하세요.				
